title,price,authors,publisher,year
Воля дракона. Современная фантастика Польши,370,"Земянский Анджей, Жердиньски Мацей, Баранецкий Марек",Вече,2020
Иуда освобожденный,965,Гамильтон Питер,Фантастика,2022
Ключи истины. Часть 1. Учебник мечты. Книга 1. Фантастика,312,Славутич Марта,ИЦ Свет,2019
Семья фон Бек,858,Муркок Майкл,Фантастика,2022
Русская фантастика. XX век. Словарь с историко-теоретическим вступлением,215,Долгих Андрей Юрьевич,Флинта,2023
Украшения Паффи для шнурков. Фантастика,134,,Оригами,2022
Защитный рефлекс. Осужденные и глупые женщины: наверное - фантастика,338,Юленин Геннадий Валентинович,Спутник+,2015
Иерусалим правит,461,Муркок Майкл,Фантастика,2021
Спасения нет,804,Гамильтон Питер,Фантастика,2022
Византия сражается,481,Муркок Майкл,Фантастика,2015
Третье пришествие. Современная фантастика Болгарии,370,"Славов Атанас П., Чолаков Янчо, Петков Мартин",Вече,2020
Invisible Planets,1620,Liu Ken,Head of Zeus,2017
Rus BD. Избранное. Фантастика,703,"Пириянц Давид, Конопатова Мария, Капнинский Алексей Владимирович",Alpaca,2023
Второй шанс в Эдене,804,Гамильтон Питер,Фантастика,2022
По ту сторону снов. Хроники паданцев,884,Гамильтон Питер,Фантастика,2020
Элрик. Лунные дороги,965,Муркок Майкл,Фантастика,2022
Тайны Иллирии. Брак с летальным исходом,504,"Волжская Анастасия, Яблонцева Валерия",Альфа-книга,2022
"Пари, леди, или Укротить неукротимого",472,Сурикова Марьяна,Альфа-книга,2020
Черное знамя,174,Казаков Дмитрий Львович,Вече,2014
Сумеречье. Девчонка из Слезных трущоб,432,Матлак Ирина Александровна,Альфа-книга,2018
Аннигиляция. Завоевание. Книга первая,622,"Абнетт Дэн, Лэннинг Энди, Гиффен Кит",Фантастика,2020
Тень драконьего крыла,256,Матлак Ирина Александровна,Альфа-книга,2021
DVD. Стартрек. Бесконечность,268,Лин Джастин,Новый диск,2016
Шолох. Теневые блики,422,Крейн Антонина,Эксмо-Пресс,2024
Корона порока,236,Свон Таня,Альфа-книга,2021
Темные стихии,220,Скляр Виктория Владимировна,Альфа-книга,2018
Ай-тере. Право на свободу,496,Валентеева Ольга Александровна,Альфа-книга,2021
"Ученье - свет, а богов тьма",336,Жукова Юлия Борисовна,Альфа-книга,2014
Недостающее звено. Сборник рассказов,1088,Штерн Борис,Текст,2022
Белый тигр в дождливый вторник…,336,Коростышевская Татьяна Георгиевна,Альфа-книга,2015
Стажер диверсионной группы,424,Махров Алексей Михайлович,Яуза,2021
Невеста по вызову. Дорогами нечисти,228,Ветрова Варвара,Альфа-книга,2020
Ересь Хоруса. Книга VI. Эпоха тьмы. Отверженные мертвецы. Потерянное Освобождение,1608,"Макнилл Грэм, Торп Гэв",Фантастика,2021
Русская фантастика-2018. Том первый,Нет в продаже,"Громов Алекс, Федина Наталья , Ангелов Андрей Петрович",Эксмо,2018
Русская фантастика-2018. Том второй,Нет в продаже,"Немытов Николай, Александер Арти Д., Ангелов Андрей Петрович",Эксмо,2018
Фантастика без границ. Бескордонье,Нет в продаже,"Сафин Эльдар Фаритович, Кибальчич Фима, Акуленко Евгений",Т8,2020
Русская фантастика-2017. Том 1,Нет в продаже,Минаков И.,Эксмо,2017
Настоящая фантастика - 2017,Нет в продаже,"Панов Вадим Юрьевич, Казаков Дмитрий Львович, Веров Ярослав",Эксмо,2017
Лучшая зарубежная научная фантастика. После апокалипсиса. Антология,Нет в продаже,"Барнс Джон, Бродерик Дамиен, Маклеод Кен",Фантастика,2019
Фантастика и приключения (6 CDmp3),Нет в продаже,"Кун Николай Альбертович, Берроуз Эдгар Райс, Буссенар Луи Анри",Ардис,2012
Лучшая зарубежная научная фантастика. Звезды не лгут. Антология,Нет в продаже,"Кэдиган Пэт, Бир Элизабет, Тидхар Леви",Фантастика,2018
Лучшая зарубежная научная фантастика. Сумерки богов. Антология,Нет в продаже,"Корчагин Г., Колосова А., Буркина З.",Фантастика,2017
Лучшая зарубежная научная фантастика,Нет в продаже,"Бакстер Стивен, Суэнвик Майкл, Макдональд Йен",Фантастика,2014
Капитан Фантастик (DVD),204,,Новый диск,2016
Кинофантастика. Наука выносит вердикт,428,"Леук Ролан, Стейер Жан-Себастьян",Дискурс,2020
Шурупы,636,Васильев Владимир Николаевич,Феникс,2024
Пираты-призраки,451,Ходжсон Уильям Хоуп,Вече,2023
Кошмар на улице Стачек,551,Кивинов Андрей Владимирович,Центрполиграф,2020
Юнит,256,Хабарова Леока,Альфа-книга,2021
Вечный Воитель,Нет в продаже,Муркок Майкл,Фантастика,2015
Легенда о Темном Эльфе. Книга 5,Нет в продаже,Сальваторе Роберт,Фантастика,2020
Это фантастика! Комплект из 2 книг,2240,Булычев Кир,Текст,2022
Дозор навсегда. Лучшая фантастика - 2018,Нет в продаже,"Каганов Леонид Александрович, Зонис Юлия Александровна, Зарубина Дарья Николаевна",АСТ,2018
Сказки. Фантастика и вымысел в мировом кинематографе,Нет в продаже,Долин Антон Владимирович,АСТ,2023
Слуги справедливости. Слуги меча. Слуги милосердия,1286,Леки Энн,Фантастика,2021
"Журнал ""Знание-сила. Фантастика"" № 2. 2020",Нет в продаже,Харичев Игорь Александрович,Журнал Знание-сила,2020
Еврейская фантастика. Проходит все,Нет в продаже,"Амнуэль Павел Рафаэлович, Горелик Михаил Викторович, Гельфанд Михаил Сергеевич",Т8,2020
Фантастика будущего. Комплект из 3-х книг,Нет в продаже,"Чайковски Адриан, Лафферти Мер, Тидхар Леви",fanzon,2020
